ТБ;ГОСБ;ИНН;Организация;Сегмент;Сотрудник;Задач;Закрыто;Успешно;Невозможно отработать;В работе;Статус отработки;Противоречие в решениях;Все задачи закрыты одним днём;Ни одного цифрового следа;План получателей;Факт получателей;Факт к плану, %;Потенциал численности;Факт к потенциалу, %
Среднерусский банк;Ярославское ГОСБ № 17;7700000008;ГБУЗ Гранит;Крупные;Жукова Ирина Николаевна;1;0;0;0;1;Не начат;False;False;False;372;0;0,0;505;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000019;ИП Центр;Малые;Жукова Ирина Николаевна;4;4;1;0;0;Отработан полностью;False;False;False;49;8;57,1;29;27,6
Среднерусский банк;Ярославское ГОСБ № 17;7700000024;ООО Юпитер;Малые;Шилов Дмитрий Иванович;1;0;0;0;1;Не начат;False;False;False;14;0;0,0;38;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000036;ГБУЗ Орион;Средние;Фомина Анна Викторовна;1;1;1;0;0;Отработан полностью;False;False;False;26;33;126,9;78;42,3
Среднерусский банк;Ярославское ГОСБ № 17;7700000043;НКО Лидер;Малые;Шилов Егор Иванович;1;0;0;0;1;Не начат;False;False;False;10;0;0,0;16;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000071;ПАО Гранит;Микро;Шилов Егор Иванович;2;2;1;0;0;Отработан полностью;False;False;False;6;1;50,0;7;14,3
Среднерусский банк;Ярославское ГОСБ № 17;7700000078;ГБУЗ Центр;Малые;Жукова Ирина Николаевна;3;2;0;0;1;Отработан частично;False;False;False;34;0;0,0;23;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000089;АО Триумф;Крупные;Жукова Ирина Николаевна;2;1;0;1;1;Отработан частично;False;False;False;326;0;0,0;430;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000093;ГБУЗ Вектор;Малые;Щукин Николай Дмитриевич;4;4;1;1;0;Отработан полностью;True;False;False;56;20;95,2;30;66,7
Среднерусский банк;Ярославское ГОСБ № 17;7700000117;НКО Центр;Средние;Жукова Ирина Николаевна;1;0;0;0;1;Не начат;False;False;False;31;0;0,0;105;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000124;ООО Импульс;Микро;Фомина Анна Викторовна;1;0;0;0;1;Не начат;False;False;False;2;0;0,0;5;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000128;МБУ Ярд;Средние;Юдина Елена Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;False;40;0;0,0;89;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000180;НКО Вектор;Крупные;Жукова Ирина Николаевна;3;1;1;0;2;Отработан частично;False;False;False;1118;90;48,1;974;9,2
Среднерусский банк;Ярославское ГОСБ № 17;7700000184;НКО Магистраль;Средние;Шилов Егор Иванович;1;0;0;0;1;Не начат;False;False;False;41;0;0,0;101;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000189;АО Центр;Малые;Шилов Дмитрий Иванович;1;0;0;0;1;Не начат;False;False;False;7;0;0,0;18;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000196;ПАО Дельта;Малые;Шилов Дмитрий Иванович;1;1;0;0;0;Отработан полностью;False;False;False;16;0;0,0;29;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000210;ООО Лидер;Микро;Шилов Дмитрий Иванович;2;1;0;0;1;Отработан частично;False;False;False;8;0;0,0;8;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000218;МБУ Вектор;Микро;Юдина Елена Дмитриевна;1;1;1;0;0;Отработан полностью;False;False;False;3;1;33,3;6;16,7
Среднерусский банк;Ярославское ГОСБ № 17;7700000235;АО Магистраль;Средние;Шилов Егор Иванович;1;0;0;0;1;Не начат;False;False;False;76;0;0,0;130;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000248;НКО Ресурс;Малые;Жукова Ирина Николаевна;1;0;0;0;1;Не начат;False;False;False;9;0;0,0;21;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000252;ПАО Автодор;Микро;Фомина Анна Викторовна;2;1;0;0;1;Отработан частично;False;False;False;6;0;0,0;7;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000290;МБУ Прогресс;Микро;Фомина Анна Викторовна;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;11;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000299;НКО Уют;Малые;Жукова Ирина Николаевна;1;1;1;0;0;Отработан полностью;False;False;False;20;10;50,0;37;27,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000305;ГБУЗ Новация;Микро;Юдина Елена Дмитриевна;2;0;0;0;2;Не начат;False;False;False;9;0;0,0;9;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000311;ГБУЗ Орион;Микро;Шилов Егор Иванович;2;1;0;0;1;Отработан частично;False;False;False;14;0;0,0;14;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000344;ИП Юпитер;SBI;Шилов Егор Иванович;1;0;0;0;1;Не начат;False;False;False;56;0;0,0;105;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000369;ПАО Прогресс;Малые;Жукова Ирина Николаевна;1;0;0;0;1;Не начат;False;False;False;7;0;0,0;38;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000382;ООО Гранит;Крупные;Юдина Елена Дмитриевна;1;0;0;0;1;Не начат;False;False;False;254;0;0,0;658;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000388;МБУ Новация;Микро;Щукин Николай Дмитриевич;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;7;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000392;ООО Лидер;Малые;Шилов Егор Иванович;1;1;0;0;0;Отработан полностью;False;False;True;4;0;0,0;11;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000404;ГБУЗ Гранит;Малые;Юдина Елена Дмитриевна;2;2;0;1;0;Отработан полностью;False;False;False;15;0;0,0;18;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000408;НКО Центр;Микро;Жукова Ирина Николаевна;1;0;0;0;1;Не начат;False;False;False;10;0;0,0;15;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000423;ИП Новация;Микро;Шилов Егор Иванович;1;0;0;0;1;Не начат;False;False;False;6;0;0,0;10;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000434;МБУ Юпитер;Микро;Фомина Анна Викторовна;2;0;0;0;2;Не начат;False;False;False;2;0;0,0;2;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000453;ООО Лидер;Средние;Шилов Егор Иванович;1;1;0;0;0;Отработан полностью;False;False;False;108;0;0,0;178;0,0
